6619500,102,7,0,0
5952250,70,5,0,0
145750,54,8,0,0
9288000,125,3,0,0
12008000,110,7,0,0
8555500,125,11,16,0
425500,20,2,3,0
4853750,19,2,0,0
5980500,15,0,0,0
4256500,129,2,0,0
9039750,348,9,0,0
4115500,46,6,0,0
12215000,1245,12,1,0
591750,52,0,0,0
11947000,351,22,1,0
5256500,80,7,0,0
7367000,123,19,0,0
4956000,195,3,0,0
7927750,201,8,0,0
9982500,71,4,6,0
4606000,52,0,0,0
6572500,30,2,0,0
10443000,440,9,0,0
1710500,292,3,0,0
9706000,716,28,15,0
3913250,418,31,2,0
1627000,9,0,0,0
10063000,169,7,0,0
4195500,185,12,0,0
239250,155,10,0,0
5292000,103,10,2,0
1194750,210,44,0,0
5108000,524,21,0,0
1617250,390,19,0,0
4054000,14,8,0,0
8145500,7,3,0,0
567250,81,12,1,0
12371000,191,21,0,0
6867750,108,0,0,0
1319000,95,3,0,0
1832000,96,3,3,0
3188000,33,5,0,0
8430000,72,2,0,0
29750,14,0,0,0
980000,42,0,0,0
5139250,421,8,0,0
6099250,313,7,0,0
2050000,372,10,0,0
2316250,181,16,0,0
10533750,139,10,0,0
10915250,68,0,1,2
6458000,1,1,0,0
4557250,57,2,0,0
6250250,15,0,0,0
8909750,139,5,0,0
7116750,108,12,6,0
1815750,47,2,0,0
1971500,828,33,0,0
5170500,338,7,0,0
11111500,76,6,0,0
6996000,55,3,5,0
7016500,199,3,0,0
3335000,10,0,1,0
6264750,30,1,0,0
9202750,11,0,0,0
10302500,137,22,0,0
3114000,187,5,8,0
9015000,19,0,0,0
452750,162,20,0,0
3404000,419,79,0,0
1063000,155,11,0,0
8435250,575,17,0,0
8869250,25,0,0,0
6126750,56,4,0,0
6766250,139,10,0,0
1579250,283,14,0,0
764750,37,1,0,0
2910750,16,0,0,0
12417500,7,26,0,0
8156500,257,12,1,0
418500,25,3,0,0
3245250,23,1,0,0
4423500,166,8,1,0
8195000,441,8,0,0
11632250,96,4,0,0
5034000,445,2,3,0
8845250,1159,38,4,1
3168000,9,1,0,0
11493000,310,18,2,0
9079500,73,10,0,0
8730250,565,48,8,0
65500,437,10,1,0
6515500,152,1,0,0
832250,231,11,2,0
10054250,252,22,4,0
4503500,164,8,0,0
