10944750,155,9
10944750,11942,3
10944750,24193,2
10944750,17920,4
10944750,12055,4
10944750,28504,1
10944750,8628,5
10944750,2826,2
10944750,8689,7
10944750,25372,32
10944750,25687,36
10944750,6080,1
10944750,10970,2
10944750,26619,1
10944750,21501,4
10944750,18697,1
10944750,28752,22
10944750,13779,1
10944750,9817,2
10944750,7150,12
10944750,11465,1
10944750,13451,10
10944750,10480,2
10944750,8719,10
10944750,7737,1
10944750,23662,2
10944750,21110,1
10944750,679,1
10944750,18730,2
10944750,1131,2
10944750,21672,1
10944750,24869,1
10944750,23251,3
10944750,28230,2
10944750,25933,1
10944750,11080,3
10944750,6918,4
10944750,14580,2
10944750,13592,3
10944750,19166,1
10944750,29547,3
10944750,4078,1
10944750,15315,2
10944750,5185,1
10944750,1461,14
10944750,11022,5
10944750,13450,3
10944750,6290,3
10944750,18575,1
10944750,11638,1
10944750,19673,16
10944750,11776,1
7269750,4019,14
7269750,20902,1
7269750,19475,24
7269750,4127,1
7269750,16939,1
7269750,13354,3
7269750,16540,2
7269750,24590,2
6572500,25526,1
6572500,17945,13
6572500,14182,1
6572500,5797,1
6572500,7963,1
6572500,6868,1
6572500,29099,15
6572500,3406,1
6572500,26378,1
6572500,7868,6
2350750,14956,1
2350750,23779,12
2350750,3590,1
2350750,2963,2
2350750,2610,1
2350750,599,1
2350750,28181,1
2350750,5661,1
2350750,22736,1
2350750,29099,1
2350750,12964,1
2350750,8327,1
2350750,7613,1
2350750,18075,1
2350750,9658,1
2350750,7096,1
2350750,16540,1
2350750,25989,2
2350750,6431,1
2350750,24417,1
2350750,4808,1
2350750,24788,4
2350750,24009,1
2350750,7248,2
2350750,10329,1
2350750,28641,1
2350750,19405,1
2350750,25372,1
2350750,14626,1
2350750,22577,1
2350750,24196,1
2350750,25329,1
2350750,25386,3
2350750,15138,1
2350750,28410,1
2350750,9848,1
2350750,23622,1
2350750,24385,2
2350750,10840,2
2350750,4078,2
2350750,21146,1
2350750,28463,1
2350750,7061,1
2350750,16939,1
2350750,5797,1
2350750,9948,1
2350750,20803,1
12008000,16331,12
12008000,15534,1
12008000,23207,1
12008000,10329,1
12008000,24977,1
12008000,2739,1
12008000,6143,1
12008000,24274,20
12008000,18075,1
12008000,14261,16
12008000,12737,1
12008000,7208,2
12008000,18697,1
12008000,28270,1
12008000,17647,14
12008000,1966,1
12008000,27458,2
12008000,3185,1
12008000,19702,1
12008000,25618,24
12008000,5053,2
12008000,4960,14
12008000,21838,1
12008000,14020,1
12008000,647,4
12008000,24196,1
12008000,6828,1
12008000,1591,1
12008000,27155,1
12008000,29084,1
12008000,6918,1
12008000,7868,1
12008000,20425,1
12008000,26618,3
12008000,29547,1
12008000,19381,1
12008000,17081,2
12008000,241,1
12008000,11904,2
12008000,4953,5
12008000,20979,11
8555500,19341,5
8555500,25372,17
8555500,1831,3
8555500,28752,2
8555500,4510,5
8555500,13247,2
8555500,2249,5
8555500,24963,4
8555500,13044,5
8555500,10741,17
8555500,12173,3
8555500,19379,16
8555500,18180,17
8555500,27615,17
8555500,12606,1
8555500,1282,14
8555500,11061,1
8555500,5598,32
8555500,4738,16
8555500,29078,40
8555500,25917,2
8555500,15962,3
8555500,7409,1
8555500,6246,1
8555500,7762,16
8555500,26614,1
425500,17506,3
425500,13450,4
425500,12285,15
425500,9563,1
425500,22094,3
425500,8313,17
425500,10480,1
425500,25424,1
4782250,13888,1
4782250,17945,1
4782250,8446,2
4782250,29099,1
4782250,15019,2
4782250,9658,26
4782250,20579,1
4782250,11176,1
4782250,26665,1
4782250,20338,2
4782250,5724,13
4782250,12271,1
4782250,1037,1
4782250,679,20
4782250,18361,4
4782250,19680,1
4782250,5429,1
4782250,3313,1
4782250,15359,15
4782250,13607,1
4782250,10193,13
4782250,26722,1
4782250,4571,1
4782250,5712,1
4782250,1481,2
4782250,22319,1
4782250,20551,1
4782250,10778,30
4782250,27791,19
4782250,25933,1
8430000,23779,2
8430000,26728,1
