10944750	155,21692,2655,28752,4238,25372
7269750	16540,13354,27979
145750	22898,11578,7105,3847,24242
2350750	10702,7560,27050
12008000	2605,7560,7868
8555500	15661,29078,7762,12173
425500	11176,21979,4078
4853750	23134,3449,26464
5980500	8719,9381,29547
4256500	25619,2410,18075,25791
9039750	4571,7105,20750,3228,11196
4115500	6731,3720,14531,14470
12215000	8637,25488,27791,16926,6672
591750	12990,18804,24170
3404000	28370,19291,905,29,3627,8446,12709,22246,18273,6246
2078000	17449,11347,14902,29099,13494
7367000	8637,21975,15686,21336,15584,24471
4956000	25488,8842,11176
7927750	22732,9620,14261,26288
9982500	542,25321,504,5642
4606000	20253,25372,5833
6572500	20823,24385,29099
10443000	19466,23990,14261,23628,11176
1710500	25488,11080,5966,14780
10401500	8637,22950,12811,12189,27427,27791
3913250	5592,9242,3627,22583,8409,9948,8689,9230
1627000	16836,1912,9829
9351750	4571,11080,24087,4400
4195500	7311,11328,29490,7737,20456
1194750	6820,16926,4059,83,25366,7400,13278
5108000	27659,18730,29547,15094,4254,29203,2826
1617250	27392,11951,28463,8278,3720,18002
4054000	11304,24088,9090,27272,10288
5440500	11176,29099,7868
8145500	4268,2826,21883,17767
567250	24616,13793,1591
12371000	8992,12394,143,12220
6867750	29203,25372,2655
1319000	510,8384,4457
1832000	3390,13820,25687,11080
3188000	569,16552,23031,9567
8430000	18575,27791,679
29750	16550
980000	20154,7105,24385
3249250	23656,16818,2739,2513
6099250	24157,19335,2655,11823,13244
2050000	26866,15231,8389,6193
2316250	18730,9611,9688,9657,26288,14261
12027000	24385,21091,16429
10533750	11687,24601,14261,29099,7868
10915250	18624,23556,18075,21092,24196
6458000	28937
4557250	21996,18730,27228
6250250	4534,11061,6793
405000	2846,24001,25372
7116750	14930,4534,24971,22126,10308
11114000	13084,25372,2655
3031750	22484,7323,11263,11196,21565,16110,12977,18131
5170500	4571,4949,18730,6096
11111500	8637,15091,25240,27791
6996000	10647,6909,28675
7016500	6864,3719,23928
3335000	9579,23259,4498
6264750	25372,21206,20156
9202750	12674,25372,16184
10302500	2626,26087,7409,6630,28164,8842,14065,27897
3114000	24869,20536,26546,23928,9712
9015000	9030,24562,3924
452750	11127,29099,14796,949
11947000	16865,23482,6465,9522,7868,6505,2101,11080,13103
8869250	25260,29084,3627
6126750	8637,25117,23214,16483
6766250	8637,599,27791,4307,15365
1579250	4953,12444,21160,2655,8885
764750	7490,15584,7868
2910750	15811,7469,22530
12417500	17959,3627,7963,8719,8689,4544
8156500	8842,27373,11176,2655
309750	28992,5437,22530,15365
4423500	6864,9284,24193,4147,1962
8195000	10970,8637,2655
10654750	24348,2890,25380
11632250	18075,398,25022,12656
5034000	23071,16550,15584,7465
200250	12352,4571,9620,9479,18180
3168000	22732,14648,7616
11493000	9072,12453,14661,22828,12628,22727,7868
9079500	11080,5058,11176,7868
8730250	12068,22359,3228,11679,28876,26404,27092,28453,911
65500	5443,25556,6152,18075,28855
6515500	29099,27888,12168
832250	8637,12110,27791,22963,11196
2852250	17153,17824,7868
4503500	6864,13956,24193,14261
10619000	4571,27508,18730
11142000	17407,686,6770,12173
6751750	4250,8278,28463,3658,1008,510,3068,16243
5901250	1010,13247,14575,12977
10521000	18843,11080,21563
1561250	25488,29265,15432
415500	599,554,18027,11734
2182750	19643,10754,28184,14458
190500	23604,5845,18741
3977750	16889,20127,7061
9706000	17181,29099,23340,22094,26378,20297,8735,12168
1173500	20143,8257,8998,7323,8049,20037,5598,15661,5848
11307500	12068,23407,8278,20300,12870
8100250	21426,16926,11080
3588500	21336,8637,27401,25214,530
6247250	2605,5996,15814,11734
10885750	6319,10038,24385
887500	13779,18730,7868
10322250	10970,23779,8717,5185
3148500	16217,18292,14894,11905,16300,27346,12795
11169500	25040,14596,28463,28184
4186500	11679,3228,12220
10598500	16302,14415,29099
47000	16169,23549,6148,16800
4102750	21787,19149,14192,20585,10026,7671,19949
5655250	25365,7105,11196
3293750	26523,17334,14794,25193,20334
341000	28803,6793,14261
267250	2367,10690,16033,28087,28761
6654750	21206,12977,16110,14261,7868
5957500	23338,29203,24966,29099
4475750	3627,3719,13592,2963,14261
7190750	8637,27791,23120,1538
7163250	17606,17748,16988,23031
12231250	26973,7560,14261,6246,12728
11535500	11679,7105,27092
9842500	18805,27371,25086,19048,26722,7380,10908
7320250	26728,26716,25791,6908
3009000	27117,5627,14261,24869,22393,230,8724
2331750	22126,953,6771,14930,6734,7179
4907500	20803,7105,143
12061000	569,25372,14603
4454500	6820,15019,10014,21071,27117
2251750	16169,23549,9563,14486
382250	11052,24922,14261
5952250	5067,11977,28360,15350
239250	4571,28481,962,4238
4804500	13087,15660,24541
9044750	2491,8603,143
10696000	1392,13793,11022,5833,14887
5199750	11080,10404,14701
3952000	13701,16550,15584
2756000	24869,21485,28463
140500	14625,4544,12977,10702
11496750	26394,25372,27191
8617500	14020,26619,28270,3627,27625,11280,3720
7600250	21092,4949,3228,7105
6433000	27777,14646,7061
2704750	22359,5764,9242,3658,21838
232000	3228,21865,16988,24385,7868
5812000	19993,12168,11519,27407,2683
528250	18730,5330,155,3627,8693
10069500	18805,15322,4571,5662,18519,10740
6334000	1051,10503,23120
1189000	11176,16361,12173,23612,27615,1010
4378500	10329,16100,23007,17851
7211250	23656,12329,5133,6331
5754500	8307,10737,19328,4571,3954
7810250	8637,5267,27791,14261
7513250	25556,2826,16939
3520000	1700,14415,23928,17550,21273,26546
4852000	12243,11080,2963
6571750	9193,16540,17647,22211,7105
1517000	9906,17343,2963
8622000	27572,12410,28754
3396250	12285,3937,2971
8353250	9906,16331,4078,12285,27205,16084
8123500	6148,9252,11080
3552000	29099
8910750	26614,5598,24929,12688,3313,15661,6246,27514
299750	11687,21092,7868
1969000	7399,27392,16550,12220,18002
5011500	23779,16672,11196,23013,22280,7105,18075
4035250	19616,27791,410
12275500	21930,23779,3886,14415
3795000	25488,11687,24385,29099
3363000	8842,15390,3651
2874500	10840,11080,22840,11849,7868
1531250	22179,2655,18730,12346
10018000	4080,27501,26788
5027500	26618,9802,6274
2103250	13984,7567,12394,14261,12220
5735000	17945,14756,11080
5279750	9842,20386,7105,14261,2368
1812000	16406,11080,7105,11196
5828250	510,17343,15913
6233750	2963,20156,3458,18180,10584,15584,4220
11761750	554,26619,15584,11734
6205000	27446,20388,11682
9069000	19937,14261,16421,11456,28017,22393
2797750	28270,21838,3627,24015
9420500	29203,2826,2655
9794000	1756,4587,642,14319
6266000	5267,8792,22749
5059000	17214,4366,11329,9195
4097500	19999,13779,17277
2626250	24869,15661,11278
9685000	16519,28930,28034
11225500	24869,2826,22113,21092,23342
4370750	10329,1666,11176,2655
8523250	7743,1707,20551,15934
3903500	27609,10532,3937,1392
9244000	24477,11080,24528,7868
8102000	20639,768,25372,12168
6150750	18185,25488,5469,15831,6305
10713250	6158,17474,8706
8633500	8148,819,5833,15269,14887
1904750	26546,22253,8074
6412750	15019,4571,2963,27111
9463750	3937,7105,11196
2492500	12285,29388,19005,20979,29364
11352000	25329,2371,29099
1782250	8637,18024,8735,155,3627
11782250	27392,10686,17606
9979000	251,16540,14603,11080
1074500	10124,1010,23031,16602,9567
5320000	18692,7105,12168
6299000	19346,28641,29072
11874000	16550,13844,18180,12220,14596,4220
7218000	7139,21936,11201,11901,22317,11924,15859
9212500	12132,20555,4220
11022500	10489,23214,14688
11579750	12688,15217,23841
10790500	14119,3228,25424
3272000	1850,29084,10686
3089500	2655,143,1917,14025
5248750	28924,9290,23214,27035,28347
5608250	29203,2826,25372
2616250	27501
10831750	5640,19328,28316,1310
2768250	6326,24070,3734
8701250	19339,18805,14525
7921500	21372,22556,19757,10948
3344750	17959,17606,5310,28463,17748,18290,8278,3313,7542
11601500	24275,12486,7868
1699500	16716,12431,22307,24715,20846
9802000	5883,24955,11687,12610
11321750	192,7997,18730,11578
5780000	21336,17959,24194,15315,11022,8637,17061,7061,17214,22313,22529,15811,5814,23192
11701500	19102,26679,15858,18859
6897000	9991,14728,21723
3981750	15602,8637,6520,21565,7105,27791,5053
9344000	6090,19627,13390
854250	18805,25933,9881,16409
3326250	6820,3444,9479,12052
