11,24486
15,3093
19,16674
20,21867
22,2872
26,14728
27,524
29,19291
39,14855
43,28992
53,12787
57,9024
62,21657
72,10635
83,17446
90,8058
91,14580
103,3804
111,13097
119,27723
120,16174
123,16390
125,3606
130,15105
133,17005
134,13285
136,10999
139,27932
140,22269
141,11127
143,14020
149,5150
155,3627
157,17960
162,12935
163,5593
164,15660
168,3826
170,25261
174,3252
175,25990
178,23662
179,27028
180,361
192,29099
194,13017
201,24015
202,10871
207,15018
215,4949
217,6306
221,9426
223,20340
224,4067
230,23508
239,6080
241,6096
245,19927
251,11080
255,819
259,23563
262,10058
264,10871
273,3606
281,11767
282,14261
284,2353
290,18801
299,2576
308,11060
318,26693
323,22533
325,9579
335,16184
336,5655
341,24026
349,9648
350,27583
360,3766
361,11006
362,11615
365,6211
366,12836
374,14379
377,25781
380,5519
387,2000
391,13709
395,18412
396,16849
397,6793
398,26699
410,17995
414,19421
420,16775
422,29330
424,20333
431,11324
432,2655
433,27723
437,23525
444,12230
446,9831
447,21981
451,230
454,28410
470,11885
471,27441
475,10315
476,5667
480,6247
488,6247
489,5310
500,11482
504,19458
506,28484
509,12855
510,599
516,17401
519,11251
524,27
526,6098
527,17958
528,12674
530,25214
533,19855
535,19096
539,574
542,25321
547,15144
554,11734
559,8976
561,15151
569,16463
570,26111
572,1545
573,676
574,14292
577,20896
580,10059
587,22958
588,28780
596,5429
599,510
611,2101
614,5081
617,10381
619,23793
622,21092
624,15606
627,16754
628,5615
629,4235
634,20835
637,24971
638,25642
642,14319
643,28098
644,4938
646,7868
647,11080
651,9671
658,27192
661,4939
667,18448
669,25427
671,28954
676,21342
678,15838
679,11080
681,17320
682,21883
684,8654
686,28378
690,16397
696,15811
700,5458
707,5615
712,24986
720,21914
733,14238
739,21738
740,14535
742,12068
743,9301
747,4571
749,18443
750,22643
752,4618
760,25015
763,1335
768,20639
771,28003
772,11244
773,11127
776,23457
778,596
785,21312
786,6089
787,3168
789,27508
791,4287
796,8358
799,27371
805,10535
814,28443
818,23649
819,255
833,4919
834,26618
835,27060
837,4538
840,14819
845,9629
849,14163
869,1791
871,23848
876,12123
878,16116
882,7089
903,22269
904,13748
905,12709
908,22889
911,23662
915,23284
917,2730
924,28752
927,13391
930,26869
931,5585
932,954
934,17060
936,24272
937,21833
938,11340
941,10353
943,28993
948,7061
949,11793
953,6734
954,20708
962,7616
967,16668
969,16407
970,3178
973,24428
984,6985
989,10893
993,20158
997,28547
1000,7248
1003,1772
1004,15359
1006,26280
1008,599
1010,12606
1014,25927
1015,25423
1017,16857
1020,16802
1026,6911
1031,8706
1034,12161
1037,993
1038,27906
1040,11791
1041,7459
1047,19413
1051,10627
1065,24576
1073,8868
1076,25723
1079,4667
1080,5863
1084,27233
1093,13491
1106,8122
1107,19457
1115,8991
1119,4447
1121,14536
1122,24562
1123,23323
1126,24844
1127,4052
1131,7955
1135,2846
1138,15024
1140,6836
1147,28166
1148,7145
1151,7297
1155,5813
1159,23649
1167,17829
1170,7188
1188,26357
1192,10381
1195,28774
1197,10916
1206,28770
1218,17214
1222,1591
1224,27817
1228,14272
1229,7500
1233,24332
1237,11052
1241,9441
1242,12159
1245,18874
1246,19862
1249,23154
1253,19514
1257,29153
1259,26984
1260,29234
1261,6193
1262,8799
1264,25715
1266,29437
1272,13853
1273,7375
1276,23410
1279,10402
1280,23333
1282,18180
1290,18149
1293,20750
1306,7026
1310,19024
1313,9182
1325,17535
1328,14250
1329,25881
1335,16944
1337,6602
1340,12431
1354,11073
1355,10893
1357,24851
1358,5962
1363,3979
1366,3719
1370,28985
1372,7469
1379,6805
1384,3184
1385,29
1389,11974
1390,15663
1392,10532
1393,22131
1396,3826
1397,16091
1403,27638
1415,21206
1418,12213
1420,25698
1427,14817
1428,15446
1431,9629
1432,19632
1438,17514
1439,24863
1440,13001
1442,23232
1446,20816
1461,20127
1463,6793
1467,4808
1472,8719
1479,18379
1481,29072
1487,10635
1492,6947
1493,5680
1494,24942
1498,5297
1499,7265
1501,16331
1505,28605
1507,16540
1512,7090
1525,27483
1526,15992
1530,26887
1533,27117
1535,10308
1538,17177
1539,10754
1545,22168
1546,16463
1547,2826
1548,16463
1554,5341
1557,23703
1563,24800
1565,21567
1566,11797
