2476250	21067
2476250	29547
2476250	20484
6523250	16406
1148000	23284
11923000	5845
7060500	12052
8792750	25372
11613500	14931
2476250	18805
2476250	21110
5082750	27272
5082750	6546
5082750	24625
7320250	18805
11923000	2367
8848250	29547
8848250	20555
7060500	19389
8792750	4846
6015000	28410
6015000	27513
6015000	4949
6015000	11080
10840750	14020
9463750	19924
2148250	14294
7060500	3300
747500	12606
747500	25917
64000	21788
64000	21110
64000	29155
8792750	11670
10264750	14020
11613500	22380
5082750	14573
10845500	25214
10845500	28924
10845500	13390
8248750	3315
7060500	7868
7060500	5950
5745000	26722
691500	27791
8792750	23900
5608250	4731
2756000	11345
7483500	26361
7483500	25372
7483500	11851
7483500	15345
7483500	2610
11613500	26722
2676250	27467
10845500	23526
10845500	1228
10845500	23214
10845500	12056
5994250	25302
8848250	11807
8848250	21186
8848250	11698
8848250	29203
10915250	17263
10915250	2249
10119250	8816
10119250	14261
3781500	2695
2756000	7179
7483500	1852
7483500	20388
7483500	25679
6250250	6246
6250250	5995
5735000	26959
5735000	7868
4256500	7868
4256500	23136
4256500	11199
317500	251
317500	4949
317500	19514
317500	15210
3257000	7868
3257000	1479
3257000	11465
3257000	8689
3257000	23793
3257000	11080
10915250	3390
10915250	14930
11646500	9465
5465250	12985
1499750	10316
1499750	27566
1499750	2226
8666500	18075
1148000	17006
10845500	28631
980000	16296
8848250	24704
10915250	12220
8792750	25871
8792750	7019
8792750	29547
3781500	25792
11646500	23847
1499750	8111
2187500	12162
3215500	13836
3215500	5250
3215500	23134
3215500	21460
3215500	25888
3215500	876
5735000	3941
317500	747
3257000	24602
3257000	7611
3257000	27508
3257000	5099
10845500	19021
10845500	12512
415500	8689
2557000	1912
2557000	15820
11631250	4475
6250250	12022
6250250	4078
11613500	25260
11613500	24486
2476250	23779
2476250	23900
2476250	12988
2476250	21326
10257500	29001
7320250	18697
1047000	25770
1047000	10795
1047000	18095
1047000	5012
10915250	26559
10915250	5640
6014750	22313
6014750	2939
11772000	21862
5608250	2826
5608250	29203
9463750	9829
11613500	21067
10477000	21562
317500	15874
317500	11080
3257000	476
3257000	29125
3257000	6909
3257000	27791
10018000	25804
1148000	13552
7320250	4694
7320250	19897
7320250	12300
3075000	12173
3075000	12811
5491500	21110
5915250	12230
5915250	7360
2756000	8719
3215500	12123
11613500	10718
10477000	16222
10477000	27151
5735000	13592
5735000	14014
4256500	21400
4256500	20402
11687000	23685
317500	7354
3257000	23662
3257000	679
6523250	22489
7320250	28790
3075000	15918
3075000	4813
3075000	26614
6603750	25005
6603750	6729
10119250	1831
5608250	28015
5608250	8226
5608250	12606
11613500	20706
11613500	3625
3257000	5799
3257000	2826
1148000	15584
1148000	10014
5994250	15138
10185750	5151
1934750	13547
382250	6773
382250	3488
1118250	2159
8792750	1279
10840750	5659
11613500	15904
3257000	17195
3257000	3390
1148000	622
6867750	7552
6867750	25372
6867750	25424
1934750	13118
1934750	15138
1934750	5429
1934750	25372
1934750	14020
1934750	3822
1934750	7552
1934750	11679
8792750	17920
8792750	22194
11646500	21110
10840750	26605
10840750	25770
11613500	19680
11613500	28997
5735000	9162
5735000	155
5735000	24711
8666500	15935
8666500	29547
8666500	19417
8666500	13375
8666500	679
2476250	7312
317500	9620
317500	3771
5082750	23103
5082750	17214
10840750	8978
10840750	20579
10840750	3937
7483500	1218
3215500	16550
3215500	12220
3215500	19198
3215500	28059
3215500	9645
3215500	20388
3215500	4259
3215500	29203
3215500	27637
10477000	14863
10018000	5685
6867750	4078
5745000	11670
10840750	16925
5465250	21110
2756000	3937
6250250	26426
6250250	4039
5735000	18632
4256500	23045
3257000	22266
6523250	12285
1074500	679
1074500	14261
9794000	24886
3892750	2898
3892750	15138
3892750	5429
3892750	17747
3892750	3937
8172250	21110
5915250	26785
5735000	22390
5735000	17136
5735000	11083
10057000	8193
10057000	21186
10057000	13206
8666500	911
8666500	25791
3257000	8943
6523250	24486
5027500	642
5027500	801
5027500	8358
5027500	16956
1148000	3584
1148000	10584
6867750	13020
6867750	1913
6867750	7113
6867750	12259
6867750	11175
8172250	28230
11772000	20078
5915250	14242
10598500	12394
9463750	19477
11613500	24178
5354000	13450
5735000	22280
4256500	13556
10057000	15498
10057000	22447
10057000	239
3257000	15032
10845500	9985
64000	10500
7483500	16463
317500	18084
3257000	26959
3257000	24359
6523250	17835
2676250	18805
5082750	7868
5438000	21110
10119250	19974
3799500	2866
11646500	15153
6433000	11688
10057000	27625
3257000	20854
3257000	9563
7320250	24831
10845500	14577
11923000	3032
10915250	12022
805750	6461
805750	23207
10264750	14930
11613500	5655
10057000	21110
5082750	11029
5082750	18105
5027500	8390
6867750	2655
5994250	27508
5994250	23793
5994250	7611
5994250	12818
8848250	12022
6014750	12394
805750	7868
5608250	3534
6140500	9180
11613500	10151
10477000	5912
10477000	23045
10477000	18926
5735000	6461
5735000	24385
5735000	20585
5735000	2367
5735000	13779
5735000	2257
3257000	7827
5082750	14699
5082750	17400
10018000	2655
3075000	6908
5994250	22393
5994250	15422
